"No","MES","TRÁMITE","EMPRESAS","RADICACIÓN","FECHA ENTRADA","FECHA SALIDA","ACTO ADMINISTRATIVO (vínculo)","DECISIÓN"
"57","Junio","Pre-evaluación","BIOMAX S.A, GRUPO EDS AUTOGAS S.A.S. y PRIMAX S.A., COESCO COLOMBIA S.A.S.","25-418011","2026 Aug 28 12:00:00 AM","2026 Jun 12 12:00:00 AM","Archivo adjunto","Condicionada"
"58","Junio","Pre-evaluación","PRIMAX COLOMBIA S.A. sobre la EDS SANTANDER DE QUILICHAO (Santander de Quilichao, Cauca)","26-178951","2026 May 04 12:00:00 AM","2026 Jun 19 12:00:00 AM","Archivo adjunto","Aprobada"
"59","Junio","Notificación","ARCHIES COMPANY SAS y GASTRONOMIA ITALIANA EN COLOMBIA S A S","26-53340","2026 Feb 13 12:00:00 AM","2026 Jun 05 12:00:00 AM","Archivo adjunto","Notificada"
"60","Junio","Notificación","Caja de Compensación Familiar de Antioquia - COMFAMA, Servicios San Vicente Fundación y la Corporación para Estudios de Salud Clínica CES.","26-201305","2026 May 15 12:00:00 AM","2026 Jun 05 12:00:00 AM","Archivo adjunto","Notificada"
"61","Junio","Notificación","Nutrium S.A.S. y Vector Foods S.A.S","26-185931","2026 May 07 12:00:00 AM","2026 Jun 09 12:00:00 AM","Archivo adjunto","Notificada"
"62","Junio","Notificación","ARTHUR J. GALLAGHER CORREDORES DE SEGUROS S.A. y BAEZ COTE ASESORES DE SEGUROS LTDA","26-228615","2026 Jun 02 12:00:00 AM","2026 Jun 12 12:00:00 AM","Archivo adjunto","Notificada"
"63","Junio","Notificación","Erco Energía S.A.S. y Luminora Solar Power Colombia Seis S.A.S.","26-220495","2026 May 28 12:00:00 AM","2026 Jun 18 12:00:00 AM","Archivo adjunto","Notificada"
"64","Junio","Notificación","BETTCHER INDUSTRIES, INC. y DEIGHTON MANUFACTURING (UK) LIMITED","26-190259","2026 May 11 12:00:00 AM","2026 Jun 04 12:00:00 AM","Archivo adjunto","Notificada"
"65","Junio","Notificación","PRIMARY WAVE KB HOLDINGS, LP y KOBALT MUSIC GROUP","26-160400","2026 Apr 21 12:00:00 AM","2026 Jun 05 12:00:00 AM","Archivo adjunto","Notificada"
"66","Junio","Notificación","Jerónimo Martins Colombia S.A.S. y Proyectos Santa Cruz S.A.S.","26-157233","2026 Apr 20 12:00:00 AM","2026 Jun 19 12:00:00 AM","Archivo adjunto","Notificada"
"67","Junio","Notificación","Copower Limitada y Generadora","26-68918","2026 Feb 24 12:00:00 AM","2026 Jun 19 12:00:00 AM","Archivo adjunto","Notificada"
"68",,,"Termocentro S.A.S. E.S.P.",,,,,
"69","Junio","Notificación","THE BRINK’S COMPANY y NCR ATLEOS CORPORATION.","26-226127","2026 Jun 01 12:00:00 AM","2026 Jun 25 12:00:00 AM","Archivo adjunto","Notificada"
"70","Junio","Concepto de Superfinanciera","Itaú Colombia y Banco de Bogotá","26-37036","2026 Feb 03 12:00:00 AM","2026 Jun 03 12:00:00 AM","Archivo adjunto","Emitido"
"71","Junio","Pre-evaluación","Alicorp Colombia S.A.S. y C.I. Flora Food Colombia S.A.S.","26-131670","2026 Apr 01 12:00:00 AM","2026 Jun 02 12:00:00 AM","Archivo adjunto","Aprobada"
