"MUN-COMERCIAL","RAZON SOCIAL","FEC-MATRICULA","FEC-RENOVACION","ACTIVO-TOTAL","CIIU-1","CIIU-2","ORGANIZACION"
"44430 - MAICAO","IMPORTACIONES Y EXPORTACIONES SASHA S.A.S.","20.120.228","20.220.527","9.233.143.000","G4644 ** Comercio al por mayor de aparatos y equipo de uso domestico","G4754 ** Comercio al por menor de electrodomésticos y gasodomésticos  muebles y equipos de iluminación en establecimientos especializados","16"
"44001 - RIOHACHA","J.P.M. INGENIERIA Y CONSTRUCCIONES S.A.S.","20.120.302","20.220.331","2.043.114.974","F4210 ** Construccion de carreteras y vias de ferrocarril","F4112 ** Construccion de edificios no residenciales","16"
"44001 - RIOHACHA","CMIAC IPS GUAJIRA SAS","20.120.309","20.220.331","2.191.500.388","Q8621 ** Actividades de la practica medica  sin internacion","Q8610 ** Actividades de hospitales y clinicas  con internacion","16"
"44430 - MAICAO","ORGANIZACION PENTATEUCO S.A.S.","20.110.316","20.220.331","22.763.038.114","G4641 ** Comercio al por mayor de productos textiles  productos confeccionados para uso domestico","G4741 ** Comercio al por menor de computadores  equipos perifericos  programas de informatica y equipos de telecomunicaciones en establecimientos especializados","16"
"44650 - SAN JUAN DEL CESAR","ASISTENCIA MEDICA DOMICILIARIA Y TRASLADO DE PACIENTES S.A.S","20.120.321","20.220.221","8.549.843.393","Q8610 ** Actividades de hospitales y clinicas  con internacion",,"16"
"44078 - BARRANCAS","CONSTRUCIONES E INGENIERIA DE LA PENINSULA S.A.S EN LIQUIDACION","20.120.327","20.170.406","511.000.000","F4290 ** Construccion de otras obras de ingenieria civil",,"16"
"44430 - MAICAO","COMERCIALIZADORA EL MAESTRO SAS","20.120.329","20.220.316","3.122.680.561","G4644 ** Comercio al por mayor de aparatos y equipo de uso domestico","G4719 ** Comercio al por menor en establecimientos no especializados  con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general)  bebidas (alcohólicas y no alcohólicas) y tabaco","16"
"44001 - RIOHACHA","SARAJE S.A.S","20.120.417","20.220.331","792.119.000","I5511 ** Alojamiento en hoteles","N7911 ** Actividades de las agencias de viaje","16"
"44650 - SAN JUAN DEL CESAR","CONSTRUCTORA MANOR S.A.S","20.110.425","20.220.330","9.290.245.115","F4210 ** Construccion de carreteras y vias de ferrocarril","F4111 ** Construccion de edificios residenciales","16"
"44090 - DIBULLA","INVERSIONES VARJOKE S.A.S.","20.120.502","20.220.609","1.109.265.407","I5511 ** Alojamiento en hoteles",,"16"
