"Establecimiento","Barrio_Domicilio","Ubicacion_Domicilio","Tipo_Comercio","Medios_Pago"
"Asusalud san lorenzo","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Tienda Martinez","Barrio San Lorenzo San José","Bodega","Formal","Efectivo"
"Drogueria súper drogas san Lorenzo","San José","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Billar el Bacan","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Supermarket","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Zapatillas Sport","Centro","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Restaurante Santandereano el Mana","Centro","Local","Informal","Efectivo, Billeteras Digitales"
"Maxiplaza f pulpas y picados de verduras","Centro","Local","Informal","Efectivo"
"Víveres y verduras mercahogar","Centro Poblado San Lorenzo","Local","Formal","Efectivo, Billeteras Digitales, Tarjeta Debito"
"Tienda La Paisita","Centro Poblado San Lorenzo","Vivienda","Formal","Efectivo"
"Districarnes la llenerita san Lorenzo","San Jorge","Local","Formal","Efectivo, Billeteras Digitales"
"Maxicarmes del llano","San José","Local","Formal","Efectivo, Billeteras Digitales"
"Tienda la Esperanza","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Don Pollo","Centro Poblado San Lorenzo","Local","Formal","Efectivo, Billeteras Digitales"
"Vice motos","Centro","Local","Formal","Efectivo"
"Almacén y taller de motos el paisa","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Drogas herrera","Centro","Bodega","Formal","Efectivo"
"El mejor punto del café","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Accesorios y celulares b y p","Bambú","Local","Informal","Efectivo, Billeteras Digitales"
"Panadera y Pastelería Autopan","Centro Poblado San Lorenzo","Vivienda","Formal","Efectivo"
"Tienda naturista manantial de vida","Centro","Local","Informal","Efectivo, Billeteras Digitales"
"Salón estilos Alcira","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Papelería govi y efecty","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Ingilo boutique","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Claro CY","Centro Poblado San Lorenzo","Local","Formal","Efectivo, Billeteras Digitales, Tarjeta Debito, Tarjeta Crédito"
"Tiendas diana","Centro","Local","Formal","Efectivo, Billeteras Digitales, Tarjeta Debito, Tarjeta Crédito"
"Tienda diana","Centro","Local","Formal","Efectivo, Billeteras Digitales, Tarjeta Debito, Tarjeta Crédito"
"ArepaLuz","Centro Poblado San Lorenzo","Vivienda","Formal","Efectivo"
"Comercializadora Bastimento","Centro Poblado San Lorenzo","Local","Formal","Efectivo, Billeteras Digitales"
"Estadero las monitas","Centro","Otro","Formal","Efectivo"
"El chispazo","Centro Poblado San Lorenzo","Vivienda","Formal","Efectivo"
"San loro","Centro","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Pañales Mariana","Centro Poblado San Lorenzo","Vivienda","Informal","Efectivo"
"Chatarrería r y m","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Tienda Dayis","Centro","Vivienda","Informal","Efectivo"
"Empanadon","Centro","Local","Informal","Efectivo"
"Sañdamentaria m y m","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"CM Cristian motors","San José de San Lorenzo","Local","Formal","Efectivo, Billeteras Digitales"
"Papelería e internet cami","Bambú","Local","Formal","Efectivo"
"Tienda los Cachis","Centro Poblado San Lorenzo","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Papelería los pinos","Centro Poblado San Lorenzo","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Más estilos","San José Alto","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Grafic print","San José Alto","Vivienda","Informal","Efectivo, Billeteras Digitales"
"Konitos","Centro","Vivienda","Informal","Efectivo, Billeteras Digitales"
"Tienda Carol nikol","Bambú","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Ferretería la Rosa de Sarom","Centro Poblado San Lorenzo","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Ferreteria taly","Bambú","Vivienda","Formal","Efectivo, Billeteras Digitales"
"RyR michel","Centro Salida San Carlos","Otro","Informal","Efectivo"
"Famident","Santa Teresa","Local","Formal","Efectivo, Billeteras Digitales, Tarjeta Debito, Tarjeta Crédito"
"Piñateria punto mágico My s","Santa Teresa","Vivienda","Formal","Efectivo, Billeteras Digitales"
